date,rv,rv_corrected,num_binned_obs
2021-01-01,-1.204024229071604,-1.2520205282084267,35
2021-01-02,-0.8933008502864025,-1.1350737607070973,20
2021-01-03,-1.482090284523467,-1.5482970422682472,32
2021-01-04,-2.166183033904527,-2.1742966329592184,36
2021-01-05,-1.5680245187998407,-1.8730611926149294,21
2021-01-06,-1.5541469026637746,-1.8019840252010937,21
2021-01-07,-2.1661180711444956,-2.375631631926417,26
2021-01-08,-2.56042011964169,-2.330216525263923,14
2021-01-09,-1.9171354831670522,-1.91112778855422,38
2021-01-10,-1.4510765702899535,-1.4469049520969273,37
2021-01-11,-1.7115372767190655,-1.6282711875640021,32
2021-01-12,-1.5219074387984037,-1.5050675282515988,27
2021-01-15,-2.332279725373362,-2.336458264681165,39
2021-01-16,-1.967396767756288,-2.0045300087762015,32
2021-01-17,-3.1021559676626116,-3.058961529683039,29
2021-01-23,-0.8940639331664183,-1.4282809125237557,8
2021-01-29,-1.3361326601525618,-1.331391959786092,7
2021-01-30,-1.62470391723764,-1.5529282665031563,28
2021-01-31,-2.1156077299648177,-2.0498158469617076,15
2021-02-03,-2.0837604147510174,-2.0646342358034495,16
2021-02-04,-3.024994949047514,-3.023764821031278,26
2021-02-05,-2.968837458050222,-3.2099272885814236,21
2021-02-06,-2.9072531528132157,-2.946832118110584,33
2021-02-08,-1.4626379296115308,-1.4674110917125445,33
2021-02-09,-1.8284315320665634,-2.2894955267763315,10
2021-02-10,-1.7255746580067068,-2.0955786893137267,15
2021-02-11,-2.522460282807234,-2.566057497603182,40
2021-02-12,-1.825132557838134,-1.8605411672337988,34
2021-02-14,-2.4241580254653323,-2.5108702722474585,36
2021-02-17,-2.3297979154274175,-2.88857032948137,3
2021-02-18,-2.182575077320881,-2.243353211438397,29
2021-02-20,-1.698574440830757,-1.8324247980663424,25
2021-02-21,-0.8726067197827309,-1.0407445463097806,23
2021-02-22,-2.21129477401012,-2.3239535594838063,26
2021-02-23,-2.2471084634052896,-2.5014643355733295,17
2021-02-24,-1.5821933040710987,-1.6208474759629357,34
2021-02-25,-1.7393755417189032,-1.7397945542253577,32
2021-02-26,-2.3386012832231864,-2.168560543567284,9
