date,rv,rv_corrected,rv_drp,num_binned_obs
2021-01-01,-1.204024229071604,-1.2520205282084267,3.477595849630699,35
2021-01-02,-0.8933008502864025,-1.1350737607070973,3.668658388551127,20
2021-01-03,-1.482090284523467,-1.5482970422682472,2.917677098424498,32
2021-01-04,-2.166183033904527,-2.1742966329592184,2.2642976222914113,36
2021-01-05,-1.5680245187998407,-1.8730611926149294,3.0469981231514565,21
2021-01-06,-1.5541469026637746,-1.8019840252010937,3.1354218093218034,21
2021-01-07,-2.1661180711444956,-2.375631631926417,2.2145898150733867,26
2021-01-08,-2.56042011964169,-2.330216525263923,2.151672397917581,14
2021-01-09,-1.9171354831670522,-1.91112778855422,2.5343787577093435,38
2021-01-10,-1.4510765702899535,-1.4469049520969273,3.264047001186543,37
2021-01-11,-1.7115372767190655,-1.6282711875640021,2.780058769854432,32
2021-01-12,-1.5219074387984037,-1.5050675282515988,3.2605319802018196,27
2021-01-15,-2.332279725373362,-2.336458264681165,2.4737473398720455,39
2021-01-16,-1.967396767756288,-2.0045300087762015,2.2044176833391216,32
2021-01-17,-3.1021559676626116,-3.058961529683039,1.4832629003452835,29
2021-01-23,-0.8940639331664183,-1.4282809125237557,3.5856150140294307,8
2021-01-29,-1.3361326601525618,-1.331391959786092,3.093883478639037,7
2021-01-30,-1.62470391723764,-1.5529282665031563,3.1469098431811116,28
2021-01-31,-2.1156077299648177,-2.0498158469617076,2.340977682927403,15
2021-02-03,-2.0837604147510174,-2.0646342358034495,1.5610851795847536,16
2021-02-04,-3.024994949047514,-3.023764821031278,1.5697791926950755,26
2021-02-05,-2.968837458050222,-3.2099272885814236,1.459689790273666,21
2021-02-06,-2.9072531528132157,-2.946832118110584,1.7271876005878761,33
2021-02-08,-1.4626379296115308,-1.4674110917125445,3.0695184213723747,33
2021-02-09,-1.8284315320665634,-2.2894955267763315,2.465496204699824,10
2021-02-10,-1.7255746580067068,-2.0955786893137267,2.3097091438587514,15
2021-02-11,-2.522460282807234,-2.566057497603182,1.9962466799372525,40
2021-02-12,-1.825132557838134,-1.8605411672337988,2.4471099885698955,34
2021-02-14,-2.4241580254653323,-2.5108702722474585,2.025331913785955,36
2021-02-17,-2.3297979154274175,-2.88857032948137,2.2422051986584757,3
2021-02-18,-2.182575077320881,-2.243353211438397,2.3568622045166965,29
